Common Name,Species,Variety,Region,Timeframe,months,January,February,March,April,May,June,July,August,September,October,November,December,Datasource
Apple,Malus domestica,,Bay Area,Average ,"1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1",1,1,1,1,1,1,1,2,2,2,2,1,http://www.cuesa.org/node/1358
Apple,Malus domestica,,Bay Area,Average ,"1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1",1,1,1,1,1,1,1,2,2,2,2,1,http://www.cuesa.org/node/1358
Apple,Malus domestica,,Bay Area,Average ,"1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1",1,1,1,1,1,1,1,2,2,2,2,1,http://www.cuesa.org/node/1358
Apple,Malus domestica,,Bay Area,Average ,"1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1",1,1,1,1,1,1,1,2,2,2,2,1,http://www.cuesa.org/node/1358
Apple,Malus domestica,,Bay Area,Average ,"1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1",1,1,1,1,1,1,1,2,2,2,2,1,http://www.cuesa.org/node/1358
Apple,Malus domestica,,Bay Area,Average ,"1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 1",1,1,1,1,1,1,1,2,2,2,2,1,http://www.cuesa.org/node/1358
Apricot,Prunus armeniaca,,Bay Area,Average ,"0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0",0,0,0,0,1,1,1,0,0,0,0,0,http://www.cuesa.org/node/1358
Aprium,Prunus armeniaca x domestica ,,Bay Area,Average ,"0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0",0,0,0,0,2,2,0,0,0,0,0,0,http://www.cuesa.org/node/1358
Asian Pear,Pyrus pyrifolia,,Bay Area,Average ,"1, 1, 1, 1, 0, 0, 0, 0, 2, 2, 2, 1",1,1,1,1,0,0,0,0,2,2,2,1,http://www.cuesa.org/node/1358
Avocado,Persea americana,,Bay Area,Average ,"1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1",1,2,2,2,2,2,2,2,2,2,2,1,http://www.cuesa.org/node/1358
Blackberry,Rubus fruticosus,,Bay Area,Average ,"0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 0, 0",0,0,0,0,1,2,2,2,2,2,0,0,http://www.cuesa.org/node/1358
Blueberry,Vaccinium corymbosum,,Bay Area,Average ,"0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0",0,0,0,0,2,2,2,2,0,0,0,0,http://www.cuesa.org/node/1358
Boysenberry,Rubus ursinus × idaeus,,Bay Area,Average ,"0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0",0,0,0,0,0,2,1,0,0,0,0,0,http://www.cuesa.org/node/1358
CactuPear,Opuntia ficus-indica,,Bay Area,Average ,"0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0",0,0,0,0,2,2,2,2,2,2,2,0,http://www.cuesa.org/node/1358
Cherimoya,Annona cherimola,,Bay Area,Average ,"2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 0, 0",2,2,2,2,2,1,0,0,0,0,0,0,http://www.cuesa.org/node/1358
Cherry,Prunus avium,,Bay Area,Average ,"0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0",0,0,0,2,2,2,2,0,0,0,0,0,http://www.cuesa.org/node/1358
Cherry,,,Bay Area,Average ,"0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0",0,0,0,2,2,2,2,0,0,0,0,0,http://www.cuesa.org/node/1358
Date,Phoenix dactylifera,,Bay Area,Average ,"1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1",1,1,1,1,1,1,1,1,2,2,2,1,http://www.cuesa.org/node/1358
Date,,,Bay Area,Average ,"1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 1",1,1,1,1,1,1,1,1,2,2,2,1,http://www.cuesa.org/node/1358
Feijoa,Feijoa sellowiana,,Bay Area,Average ,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2",0,0,0,0,0,0,0,0,0,0,2,2,http://www.cuesa.org/node/1358
Feijoa,,,Bay Area,Average ,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2",0,0,0,0,0,0,0,0,0,0,2,2,http://www.cuesa.org/node/1358
Fig,Ficus carica,,Bay Area,Average ,"0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 1",0,0,0,0,0,2,2,0,2,2,2,1,http://www.cuesa.org/node/1358
Fig,,,Bay Area,Average ,"0, 0, 0, 0, 0, 2, 2, 0, 2, 2, 2, 1",0,0,0,0,0,2,2,0,2,2,2,1,http://www.cuesa.org/node/1358
Grapefruit,Citrus paradisi,,Bay Area,Average ,"2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2",2,2,2,2,0,0,0,0,0,0,0,2,http://www.cuesa.org/node/1358
Grapefruit,,,Bay Area,Average ,"2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 2",2,2,2,2,0,0,0,0,0,0,0,2,http://www.cuesa.org/node/1358
Grape,Vitis vinifera,,Bay Area,Average ,"0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 1",0,0,0,0,0,2,2,2,2,2,2,1,http://www.cuesa.org/node/1358
Guava,Psidiium Guajava,,Bay Area,Average ,"2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2",2,2,2,2,0,0,0,0,0,2,2,2,http://www.cuesa.org/node/1358
Jujube,Ziziphus zizyphus,,Bay Area,Average ,"0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0",0,0,0,0,0,0,0,0,2,2,0,0,http://www.cuesa.org/node/1358
Kiwi,Actinidia deliciosa,,Bay Area,Average ,"1, 1, 1, 1, 0, 0, 0, 0, 2, 2, 2, 2",1,1,1,1,0,0,0,0,2,2,2,2,http://www.cuesa.org/node/1358
Kumquat,Citrus japonica,,Bay Area,Average ,"2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2",2,2,2,2,0,0,0,0,0,2,2,2,http://www.cuesa.org/node/1358
Lemon,Citrus limon,,Bay Area,Average ,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2",2,2,2,2,2,2,2,2,2,2,2,2,http://www.cuesa.org/node/1358
Lemon,,,Bay Area,Average ,,,,,,,,,,,,,,http://www.cuesa.org/node/1358
Lime,Citrus aurantafolia,,Bay Area,Average ,"2, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2",2,2,2,2,0,0,0,0,0,2,2,2,http://www.cuesa.org/node/1358
Loquat,Eriobotrya japonica,,Bay Area,Average ,"0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0",0,0,0,0,2,2,0,0,0,0,0,0,http://www.cuesa.org/node/1358
Mandarin,Citrus reticulata,,Bay Area,Average ,"2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 2, 2",2,2,2,2,1,1,1,0,0,0,2,2,http://www.cuesa.org/node/1358
Melon,Cucumis,,Bay Area,Average ,"0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0",0,0,0,0,0,2,2,2,2,2,0,0,http://www.cuesa.org/node/1358
Mulberry,Morus Rubra,,Bay Area,Average ,"0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0",0,0,0,0,0,0,2,2,0,0,0,0,http://www.cuesa.org/node/1358
Nectarine,Prunus persica,,Bay Area,Average ,"0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0",0,0,0,0,2,2,2,2,2,2,0,0,http://www.cuesa.org/node/1358
Orange,Citrus sinensis,,Bay Area,Average ,"2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2",2,2,2,2,2,2,2,2,2,2,2,2,http://www.cuesa.org/node/1358
Peach,Prunus persica,,Bay Area,Average ,"0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0",0,0,0,0,2,2,2,2,2,2,2,0,http://www.cuesa.org/node/1358
Pear,Pyrus communis,,Bay Area,Average ,"1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 2, 1",1,1,1,1,0,0,0,2,2,2,2,1,http://www.cuesa.org/node/1358
Persimmon,Diospyros virginiana,,Bay Area,Average ,"0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2",0,0,0,0,0,0,0,0,2,2,2,2,http://www.cuesa.org/node/1358
Plum,Prunus domestica,,Bay Area,Average ,"0, 0, 0, 0, 0, 2, 2, 2, 1, 2, 2, 0",0,0,0,0,0,2,2,2,1,2,2,0,http://www.cuesa.org/node/1358
Pluot,Prunus domestica x prunus armeniaca,,Bay Area,Average ,"0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0",0,0,0,0,0,2,2,2,2,0,0,0,http://www.cuesa.org/node/1358
Pomegranate,Punica granatum,,Bay Area,Average ,"0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2",0,0,0,0,0,0,0,0,2,2,2,2,http://www.cuesa.org/node/1358
Pomelo,Citrus maxima,,Bay Area,Average ,"2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2",2,2,2,2,0,0,0,0,0,0,2,2,http://www.cuesa.org/node/1358
Quince,Cydonia oblonga,,Bay Area,Average ,"0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0",0,0,0,0,0,0,0,0,2,2,2,0,http://www.cuesa.org/node/1358
Raspberry,Rubus idaeus,,Bay Area,Average ,"0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 0",0,0,0,0,2,2,2,2,2,2,2,0,http://www.cuesa.org/node/1358
Rhubarb,Rheum rhabarbarum,,Bay Area,Average ,"0, 0, 0, 2, 2, 2, 2, 2, 2, 1, 0, 0",0,0,0,2,2,2,2,2,2,1,0,0,http://www.cuesa.org/node/1358
Strawberry,Fragaria ananassa,,Bay Area,Average ,"0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0",0,0,2,2,2,2,2,2,2,2,0,0,http://www.cuesa.org/node/1358
Tayberry,Rubus fruticosus x idaeus,,Bay Area,Average ,"0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0",0,0,0,0,2,2,2,0,0,0,0,0,http://www.cuesa.org/node/1358
